主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BC3DC9DDC8,2020-05-01,W2,NBR评论,The Emerging Public Health Challenges of Data Access in an Era of Globalization,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,https://www.nbr.org/publication/the-emerging-public-health-challenges-of-data-access-in-an-era-of-globalization/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BC3DC9DDC8,2020-05-01,W2,NBR评论,The Emerging Public Health Challenges of Data Access in an Era of Globalization,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,https://www.nbr.org/publication/the-emerging-public-health-challenges-of-data-access-in-an-era-of-globalization/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BC3DC9DDC8,2020-05-01,W2,NBR评论,The Emerging Public Health Challenges of Data Access in an Era of Globalization,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,https://www.nbr.org/publication/the-emerging-public-health-challenges-of-data-access-in-an-era-of-globalization/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-51B65A1460,2020-05-19,W2,NBR研究报告,Networked Benefits: Realizing the Potential of 5G in South Korea,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,https://www.nbr.org/publication/networked-benefits-realizing-the-potential-of-5g-in-south-korea/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-51B65A1460,2020-05-19,W2,NBR研究报告,Networked Benefits: Realizing the Potential of 5G in South Korea,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,https://www.nbr.org/publication/networked-benefits-realizing-the-potential-of-5g-in-south-korea/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-5FF8763A08,2020-07-01,W2,NBR评论,Balancing Standards: U.S. and Chinese Strategies for Developing Technical Standards in AI,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,https://www.nbr.org/publication/balancing-standards-u-s-and-chinese-strategies-for-developing-technical-standards-in-ai/
网络安全与数字治理,直接涉华科技,核心科技直接材料,C-NBR-5FF8763A08,2020-07-01,W2,NBR评论,Balancing Standards: U.S. and Chinese Strategies for Developing Technical Standards in AI,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,https://www.nbr.org/publication/balancing-standards-u-s-and-chinese-strategies-for-developing-technical-standards-in-ai/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-5FF8763A08,2020-07-01,W2,NBR评论,Balancing Standards: U.S. and Chinese Strategies for Developing Technical Standards in AI,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,https://www.nbr.org/publication/balancing-standards-u-s-and-chinese-strategies-for-developing-technical-standards-in-ai/
网络安全与数字治理,直接涉华科技,科技地缘经济基线,C-NBR-0644046702,2020-08-28,W2,NBR访谈,The United States’ Choices amid China’s Rise,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,https://www.nbr.org/publication/the-united-states-choices-amid-chinas-rise/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-0644046702,2020-08-28,W2,NBR访谈,The United States’ Choices amid China’s Rise,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,https://www.nbr.org/publication/the-united-states-choices-amid-chinas-rise/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-C87DEA6823,2020-12-09,W2,NBR评论,Challenges for U.S. Trade Policy in 2021 A Brief Look Ahead,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,https://www.nbr.org/publication/challenges-for-u-s-trade-policy-in-2021-a-brief-look-ahead/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-C87DEA6823,2020-12-09,W2,NBR评论,Challenges for U.S. Trade Policy in 2021 A Brief Look Ahead,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,https://www.nbr.org/publication/challenges-for-u-s-trade-policy-in-2021-a-brief-look-ahead/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-C87DEA6823,2020-12-09,W2,NBR评论,Challenges for U.S. Trade Policy in 2021 A Brief Look Ahead,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,https://www.nbr.org/publication/challenges-for-u-s-trade-policy-in-2021-a-brief-look-ahead/
人工智能、芯片与算力,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-1914F01417,2020-12-21,W2,NBR评论,The Importance of a U.S.-Taiwan Bilateral Trade Agreement,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,https://www.nbr.org/publication/the-importance-of-a-u-s-taiwan-bilateral-trade-agreement/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-1914F01417,2020-12-21,W2,NBR评论,The Importance of a U.S.-Taiwan Bilateral Trade Agreement,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,https://www.nbr.org/publication/the-importance-of-a-u-s-taiwan-bilateral-trade-agreement/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-1914F01417,2020-12-21,W2,NBR评论,The Importance of a U.S.-Taiwan Bilateral Trade Agreement,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,https://www.nbr.org/publication/the-importance-of-a-u-s-taiwan-bilateral-trade-agreement/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-1914F01417,2020-12-21,W2,NBR评论,The Importance of a U.S.-Taiwan Bilateral Trade Agreement,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,https://www.nbr.org/publication/the-importance-of-a-u-s-taiwan-bilateral-trade-agreement/
人工智能、芯片与算力,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-52E8F50F39,2021-01-06,W2,NBR评论,Taiwan’s Trade Policies Strategies and Constraints,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,https://www.nbr.org/publication/taiwans-trade-policies-strategies-and-constraints/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-52E8F50F39,2021-01-06,W2,NBR评论,Taiwan’s Trade Policies Strategies and Constraints,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,https://www.nbr.org/publication/taiwans-trade-policies-strategies-and-constraints/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-52E8F50F39,2021-01-06,W2,NBR评论,Taiwan’s Trade Policies Strategies and Constraints,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,https://www.nbr.org/publication/taiwans-trade-policies-strategies-and-constraints/
生物、量子及其他前沿技术,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-52E8F50F39,2021-01-06,W2,NBR评论,Taiwan’s Trade Policies Strategies and Constraints,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,https://www.nbr.org/publication/taiwans-trade-policies-strategies-and-constraints/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F93B87EA61,2021-01-09,W2,NBR评论,Data Governance and Trade The Asia-Pacific Leads the Way,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,https://www.nbr.org/publication/data-governance-and-trade-the-asia-pacific-leads-the-way/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F93B87EA61,2021-01-09,W2,NBR评论,Data Governance and Trade The Asia-Pacific Leads the Way,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,https://www.nbr.org/publication/data-governance-and-trade-the-asia-pacific-leads-the-way/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F93B87EA61,2021-01-09,W2,NBR评论,Data Governance and Trade The Asia-Pacific Leads the Way,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,https://www.nbr.org/publication/data-governance-and-trade-the-asia-pacific-leads-the-way/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A3EF719B5B,2021-03-01,W2,NBR政策简报,IP Commission 2021 Review: Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A3EF719B5B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A3EF719B5B.txt,https://www.nbr.org/publication/the-ip-commission-report/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A3EF719B5B,2021-03-01,W2,NBR政策简报,IP Commission 2021 Review: Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A3EF719B5B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A3EF719B5B.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A3EF719B5B,2021-03-01,W2,NBR政策简报,IP Commission 2021 Review: Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A3EF719B5B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A3EF719B5B.txt,https://www.nbr.org/publication/the-ip-commission-report/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-BDDCDFED2B,2021-03-01,W2,NBR背景材料,IP Commission 2021 Background Memo,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-BDDCDFED2B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-BDDCDFED2B.txt,https://www.nbr.org/publication/the-ip-commission-report/
